num_nodes,num_edges,density,num_components,giant_component_size,giant_component_fraction,avg_degree,std_degree,avg_clustering,modularity,num_communities,user_weight,ai_weight,ratio,threshold,ratio_label,file
859,3385,0.009185614540678568,72,640,0.7450523864959255,7.881257275902212,11.203477769657335,0.4804490320588449,0.6903136080771638,13,1.0,4.0,0.25,0.875,user1.0-ai4.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai4.0_t0.875.json
527,1047,0.0075540580515292095,85,268,0.50853889943074,3.9734345351043645,4.995942961917342,0.4290784507127461,0.7193123578385489,9,1.0,4.0,0.25,0.9,user1.0-ai4.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai4.0_t0.9.json
231,227,0.008545078110295501,66,44,0.19047619047619047,1.9653679653679654,1.789487028631515,0.48578643578643577,0.6572610528281316,5,1.0,4.0,0.25,0.925,user1.0-ai4.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai4.0_t0.925.json
41,25,0.03048780487804878,18,4,0.0975609756097561,1.2195121951219512,0.518543698182178,0.8333333333333333,0.0,1,1.0,4.0,0.25,0.95,user1.0-ai4.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai4.0_t0.95.json
1429,23755,0.02328223101696942,25,1375,0.9622113365990203,33.24702589223233,46.47272690082163,0.5863891900229381,0.5395457840617258,12,1.0,100.0,0.01,0.8,user1.0-ai100.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai100.0_t0.8.json
1231,11729,0.01549272519532669,35,1148,0.9325751421608448,19.056051990251827,27.865044566668377,0.5502716495395151,0.6047316786036142,18,1.0,100.0,0.01,0.825,user1.0-ai100.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai100.0_t0.825.json
971,5285,0.01122235552677121,52,803,0.8269824922760041,10.885684860968075,15.820709908790189,0.50850823821253,0.6489649500838225,18,1.0,100.0,0.01,0.85,user1.0-ai100.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai100.0_t0.85.json
686,1969,0.008380328147943223,79,401,0.5845481049562682,5.740524781341108,7.808365609110366,0.433331992984164,0.6799337675173966,13,1.0,100.0,0.01,0.875,user1.0-ai100.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai100.0_t0.875.json
412,601,0.007098481090402287,85,187,0.4538834951456311,2.9174757281553396,3.3901607254754906,0.35969369508570914,0.7259736772308127,9,1.0,100.0,0.01,0.9,user1.0-ai100.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai100.0_t0.9.json
153,127,0.010921912624699003,46,18,0.11764705882352941,1.6601307189542485,1.1612670491248527,0.12037037037037036,0.5787815497224751,4,1.0,100.0,0.01,0.925,user1.0-ai100.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai100.0_t0.925.json
28,16,0.042328042328042326,12,4,0.14285714285714285,1.1428571428571428,0.34992710611188255,0.0,0.16559089322677273,2,1.0,100.0,0.01,0.95,user1.0-ai100.0,../dev/ablation_study/data/edges_filtered/edges_chatgpt-json-llm-user1.0-ai100.0_t0.95.json
